"site","aphiaID"
"Aldabra Atoll",219708
"Aldabra Atoll",219752
"Aldabra Atoll",219754
"Aldabra Atoll",219777
"Aldabra Atoll",219783
"Aldabra Atoll",219795
"Aldabra Atoll",219796
"Aldabra Atoll",219828
"Aldabra Atoll",219853
"Aldabra Atoll",219881
"Aldabra Atoll",219882
"Aldabra Atoll",219886
"Aldabra Atoll",219890
"Aldabra Atoll",219894
"Aldabra Atoll",219896
"Aldabra Atoll",219904
"Aldabra Atoll",219905
"Aldabra Atoll",219925
"Aldabra Atoll",219935
"Aldabra Atoll",219938
"Aldabra Atoll",219945
"Aldabra Atoll",219947
"Aldabra Atoll",219970
"Aldabra Atoll",219991
"Aldabra Atoll",219995
"Aldabra Atoll",219998
"Aldabra Atoll",220001
"Aldabra Atoll",220003
"Aldabra Atoll",220006
"Aldabra Atoll",220014
"Aldabra Atoll",220018
"Aldabra Atoll",220038
"Aldabra Atoll",220043
"Aldabra Atoll",220044
"Aldabra Atoll",220058
"Aldabra Atoll",220063
"Aldabra Atoll",220065
"Aldabra Atoll",220083
"Aldabra Atoll",220353
"Aldabra Atoll",220354
"Aldabra Atoll",220368
"Aldabra Atoll",220816
"Aldabra Atoll",220839
"Aldabra Atoll",220898
"Aldabra Atoll",220902
"Aldabra Atoll",220913
"Aldabra Atoll",220915
"Aldabra Atoll",220916
"Aldabra Atoll",221476
"Aldabra Atoll",221490
"Aldabra Atoll",223867
"Aldabra Atoll",234473
"Aldabra Atoll",234479
"Aldabra Atoll",237968
"Aldabra Atoll",239325
"Aldabra Atoll",239445
"Aldabra Atoll",239483
"Aldabra Atoll",239496
"Aldabra Atoll",239633
"Aldabra Atoll",239730
"Aldabra Atoll",239766
"Aldabra Atoll",239840
"Aldabra Atoll",239854
"Aldabra Atoll",239902
"Aldabra Atoll",240138
"Aldabra Atoll",240170
"Aldabra Atoll",240286
"Aldabra Atoll",240319
"Aldabra Atoll",248637
"Aldabra Atoll",248753
"Aldabra Atoll",256052
"Aldabra Atoll",256333
"Aldabra Atoll",256570
"Aldabra Atoll",256639
"Aldabra Atoll",256883
"Aldabra Atoll",256892
"Aldabra Atoll",256893
"Aldabra Atoll",256902
"Aldabra Atoll",256903
"Aldabra Atoll",256918
"Aldabra Atoll",257081
"Aldabra Atoll",258099
"Aldabra Atoll",258399
"Aldabra Atoll",259036
"Aldabra Atoll",259875
"Aldabra Atoll",260391
"Aldabra Atoll",260395
"Aldabra Atoll",261865
"Aldabra Atoll",269263
"Aldabra Atoll",271838
"Aldabra Atoll",271882
"Aldabra Atoll",271936
"Aldabra Atoll",273344
"Aldabra Atoll",275752
"Aldabra Atoll",276827
"Aldabra Atoll",276851
"Aldabra Atoll",276885
"Aldabra Atoll",277145
"Aldabra Atoll",277497
"Aldabra Atoll",277563
"Aldabra Atoll",277817
"Aldabra Atoll",277826
"Aldabra Atoll",278220
